run_id,overall_score,counts,schema_valid_strict_rate,render_ok_rate,content_coverage_avg,lint_score_avg,dup_rate_avg,component_count_avg,unique_component_types_avg,max_tree_depth_avg,avg_tree_depth_avg,container_to_text_ratio_avg,information_chunking_score_avg,ui_modularity_score_avg,ui_decomposition_score_avg,section_heading_coverage_avg,actionable_elements_avg,action_coverage_avg,url_as_text_rate_avg,table_pattern_detected_rate,table_cell_coverage_avg,table_required_rate,table_ok_rate,markdown_leakage_rate_avg,missing_ids_avg,missing_ids_rate_avg,dangling_components_avg,dangling_components_rate_avg,intent_expectation_pass_rate,intent_score_avg,latency_ms_avg,latency_ms_p95
subset50_g25pro_20260207_121329,29.403502666975385,50,1.0,,0.9130535143679339,1.0,0.2024316041971749,32.1,5.32,4.16,1.5566923942495747,0.7380089127324148,0.6062376589364125,0.1472293322427885,0.46147916670776534,0.29313492063492064,1.18,0.88,0.1814285714285714,0.26,0.14263825265797914,0.94,0.2765957446808511,0.11018464462625661,0.0,0.0,0.0,0.0,0.1,0.40666666666666657,53214.335956573486,166380.69701194763
subset50_g3pro_20260207_121329,28.352721988782868,50,1.0,,0.7639596966866956,0.988,0.21884876590872854,31.34,5.24,4.12,1.5713772932415904,0.7385667064175518,0.5950296158597933,0.12048557170884955,0.4456262142632666,0.1776279178338002,1.18,0.9,0.1825,0.22,0.1200318816230689,0.94,0.23404255319148937,0.061840203882785924,0.0,0.0,0.0,0.0,0.06,0.3500000000000001,54827.80896663666,70876.53064727783
subset50_g25flash_20260207_121329,21.165603267907468,50,1.0,,0.8253792913878388,0.988,0.16227487791817047,18.02,3.2,2.94,1.3811056567464717,0.768103093406912,0.39316323262218156,0.07747750936860902,0.3511594123282014,0.2580952380952381,0.56,0.6666666666666667,0.29285714285714287,0.18,0.11314464605162279,0.94,0.19148936170212766,0.12402823625417896,1.5,0.0691156462585034,0.0,0.0,0.1,0.2866666666666667,25580.927906036377,32203.68981361389
subset50_g3flash_20260207_121329,20.40383411655472,50,1.0,,0.8211074024190275,0.992,0.13103511901305348,16.08,3.98,3.02,1.4720117312742211,0.9247072370703302,0.3038263511110441,0.07350957615372992,0.38516324179927397,0.08159897292250234,0.42,0.62,0.45714285714285713,0.14,0.0569383209277374,0.94,0.14893617021276595,0.16442399063508556,0.0,0.0,0.0,0.0,0.06,0.20666666666666664,33276.03218078613,49063.825368881226
subset50_gauss_20260207_121329,19.135954987132827,50,1.0,,0.8700233513343879,1.0,0.14098455965408338,13.78,3.18,3.0,1.4596517897714802,0.6505969171941713,0.38508368071169974,0.05229806828430471,0.32139720055872273,0.14115873015873018,0.66,0.7,0.33714285714285713,0.06,0.06,0.94,0.06382978723404255,0.17437817052024696,0.0,0.0,0.0,0.0,0.04,0.21333333333333332,0.0,0.0
subset50_gemma327b_20260207_121329,12.905032555847793,54,1.0,,0.9615381500591373,1.0,0.050820462618803755,2.388888888888889,2.0,2.0,1.471851851851852,0.9701646090534979,0.008428872459730705,0.002962962962962963,0.27879825734516966,0.05555555555555555,0.0,0.42592592592592593,0.6984126984126985,0.0,0.0,0.9444444444444444,0.0,0.24854705651865758,0.0,0.0,0.0,0.0,0.037037037037037035,0.08641975308641976,21802.35281697026,37115.37504196167
subset50_g4omini_20260207_121329,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
subset50_gpt5mini_20260207_121329,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
