run_label,run_id,overall_score,schema_valid_strict_rate,render_ok_rate,content_coverage_avg,dup_rate_avg,action_coverage_avg,table_pattern_detected_rate,table_cell_coverage_avg,section_heading_coverage_avg,intent_expectation_pass_rate,intent_score_avg,image_presence_rate,icon_presence_rate,asset_url_valid_rate
baseline,subset10_g3pro_iconcatalog_headings_20260216_091411,33.78586992130153,1.0,1.0,0.9474325061942339,0.26766256734369276,0.9,0.4,0.27628888248847927,0.26666666666666666,0.0,0.4,0.4,0.6,0.9
flatspec_v2,subset10_g3pro_iconcatalog_headings_20260216_091411_flatspec_jsonrender_20260405_2,82.49297404241769,1.0,1.0,0.803743607491174,0.271417938361077,1.0,0.4,0.10078362573099416,0.5649017649017649,0.1,0.6166666666666667,0.5,0.9,0.9
flatspec_v3_best,subset10_g3pro_iconcatalog_headings_20260216_091411_flatspec_jsonrender_20260405_3,85.12978955434785,1.0,1.0,0.8665397365542511,0.27269515868322386,0.9199999999999999,0.6,0.2568444062971864,0.5841208791208792,0.3,0.7166666666666667,0.4,0.8,0.9
flatspec_v4,subset10_g3pro_iconcatalog_headings_20260216_091411_flatspec_jsonrender_20260405_4,72.44062567363328,1.0,1.0,0.8968551333904312,0.1984725883442991,1.0,0.3,0.06646344600504192,0.4649417249417249,0.1,0.55,0.3,0.6,0.9
