index,ui_id,category,status,baseline_gaps,new_gaps,gap_delta,baseline_table_cell_coverage,new_table_cell_coverage,baseline_chunking,new_chunking,baseline_markdown_leak_lines,new_markdown_leak_lines,stitch_image,baseline_android_image,new_android_image
12,u_000012_01,Comparison,improved,markdown_leakage;weak_table_coverage,weak_table_coverage,-1,0.2353,0.3235,0.8199,0.7750,8,0,stitch\outputs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634_stitch_20260414_195050\images\12_r_000012_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634\android_device_rendered\12_u_000012_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_stitch_compare_20260417_r1\android_device_rendered\12_u_000012_01.png
13,u_000013_01,Weather,same,,,0,0.6508,0.6508,0.6976,0.8485,0,0,stitch\outputs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634_stitch_20260414_195050\images\13_r_000013_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634\android_device_rendered\13_u_000013_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_stitch_compare_20260417_r1\android_device_rendered\13_u_000013_01.png
14,u_000014_01,Booking,same,weak_table_coverage,weak_table_coverage,0,0.1846,0.1846,0.8022,0.9244,0,0,stitch\outputs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634_stitch_20260414_195050\images\14_r_000014_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634\android_device_rendered\14_u_000014_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_stitch_compare_20260417_r1\android_device_rendered\14_u_000014_01.png
15,u_000015_01,Weather,improved,dense_text_layout;fallback_generated;markdown_leakage;missing_media_signal,,-4,0.0000,0.7059,0.0000,0.8837,44,0,stitch\outputs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634_stitch_20260414_195050\images\15_r_000015_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634\android_device_rendered\15_u_000015_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_stitch_compare_20260417_r1\android_device_rendered\15_u_000015_01.png
16,u_000016_01,Booking,improved,missing_media_signal,,-1,0.0000,0.0000,0.8115,0.8147,0,0,stitch\outputs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634_stitch_20260414_195050\images\16_r_000016_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634\android_device_rendered\16_u_000016_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_stitch_compare_20260417_r1\android_device_rendered\16_u_000016_01.png
17,u_000017_01,Weather,same,,,0,0.0000,0.7500,0.6095,0.7191,0,0,stitch\outputs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634_stitch_20260414_195050\images\17_r_000017_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634\android_device_rendered\17_u_000017_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_stitch_compare_20260417_r1\android_device_rendered\17_u_000017_01.png
18,u_000018_01,Weather,changed_same_count,dense_text_layout,missing_media_signal,0,0.0000,0.7647,0.4276,0.4574,0,0,stitch\outputs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634_stitch_20260414_195050\images\18_r_000018_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634\android_device_rendered\18_u_000018_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_stitch_compare_20260417_r1\android_device_rendered\18_u_000018_01.png
19,u_000019_01,Travel,same,weak_table_coverage,weak_table_coverage,0,0.5172,0.5172,0.8405,0.8496,0,0,stitch\outputs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634_stitch_20260414_195050\images\19_r_000019_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634\android_device_rendered\19_u_000019_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_stitch_compare_20260417_r1\android_device_rendered\19_u_000019_01.png
20,u_000020_01,Travel,same,weak_table_coverage,weak_table_coverage,0,0.4750,0.5250,0.5377,0.7508,0,0,stitch\outputs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634_stitch_20260414_195050\images\20_r_000020_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634\android_device_rendered\20_u_000020_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_stitch_compare_20260417_r1\android_device_rendered\20_u_000020_01.png
21,u_000021_01,Travel,improved,markdown_leakage,,-1,0.6364,0.6364,0.8563,0.9164,17,0,stitch\outputs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634_stitch_20260414_195050\images\21_r_000021_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634\android_device_rendered\21_u_000021_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_stitch_compare_20260417_r1\android_device_rendered\21_u_000021_01.png
22,u_000022_01,Booking,same,,,0,0.0000,0.0000,0.9241,0.9297,0,0,stitch\outputs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634_stitch_20260414_195050\images\22_r_000022_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634\android_device_rendered\22_u_000022_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_stitch_compare_20260417_r1\android_device_rendered\22_u_000022_01.png
23,u_000023_01,Comparison,improved,missing_media_signal,,-1,0.0000,0.0000,0.5323,0.6789,0,0,stitch\outputs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634_stitch_20260414_195050\images\23_r_000023_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634\android_device_rendered\23_u_000023_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_stitch_compare_20260417_r1\android_device_rendered\23_u_000023_01.png
24,u_000024_01,Comparison,improved,dense_text_layout,,-1,0.0000,0.0000,0.4098,0.7846,0,0,stitch\outputs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634_stitch_20260414_195050\images\24_r_000024_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634\android_device_rendered\24_u_000024_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_stitch_compare_20260417_r1\android_device_rendered\24_u_000024_01.png
25,u_000025_01,Weather,same,dense_text_layout,dense_text_layout,0,0.5556,0.5556,0.2642,0.3502,0,0,stitch\outputs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634_stitch_20260414_195050\images\25_r_000025_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634\android_device_rendered\25_u_000025_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_stitch_compare_20260417_r1\android_device_rendered\25_u_000025_01.png
26,u_000026_01,Travel,same,,,0,0.8286,0.8286,0.7994,0.7994,0,0,stitch\outputs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634_stitch_20260414_195050\images\26_r_000026_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634\android_device_rendered\26_u_000026_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_stitch_compare_20260417_r1\android_device_rendered\26_u_000026_01.png
27,u_000027_01,Booking,same,,,0,0.5909,0.5909,0.5341,0.7653,0,0,stitch\outputs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634_stitch_20260414_195050\images\27_r_000027_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634\android_device_rendered\27_u_000027_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_stitch_compare_20260417_r1\android_device_rendered\27_u_000027_01.png
28,u_000028_01,Booking,same,,,0,0.6667,0.6667,0.7935,0.7873,0,0,stitch\outputs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634_stitch_20260414_195050\images\28_r_000028_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634\android_device_rendered\28_u_000028_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_stitch_compare_20260417_r1\android_device_rendered\28_u_000028_01.png
29,u_000029_01,Travel,same,,,0,0.7143,0.7143,0.6375,0.6422,0,0,stitch\outputs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634_stitch_20260414_195050\images\29_r_000029_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634\android_device_rendered\29_u_000029_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_stitch_compare_20260417_r1\android_device_rendered\29_u_000029_01.png
30,u_000030_01,Booking,same,weak_table_coverage,weak_table_coverage,0,0.5455,0.5455,0.6801,0.7160,0,0,stitch\outputs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634_stitch_20260414_195050\images\30_r_000030_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634\android_device_rendered\30_u_000030_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_stitch_compare_20260417_r1\android_device_rendered\30_u_000030_01.png
31,u_000031_01,Comparison,improved,weak_table_coverage,,-1,0.4545,0.5909,0.7195,0.6378,0,0,stitch\outputs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634_stitch_20260414_195050\images\31_r_000031_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634\android_device_rendered\31_u_000031_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_stitch_compare_20260417_r1\android_device_rendered\31_u_000031_01.png
32,u_000032_01,Comparison,same,,,0,0.6970,0.6970,0.8437,0.8453,0,0,stitch\outputs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634_stitch_20260414_195050\images\32_r_000032_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634\android_device_rendered\32_u_000032_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_stitch_compare_20260417_r1\android_device_rendered\32_u_000032_01.png
33,u_000033_01,Travel,same,,,0,0.7073,0.6098,0.5328,0.7082,0,0,stitch\outputs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634_stitch_20260414_195050\images\33_r_000033_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634\android_device_rendered\33_u_000033_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_stitch_compare_20260417_r1\android_device_rendered\33_u_000033_01.png
34,u_000034_01,Weather,improved,dense_text_layout;fallback_generated;markdown_leakage;missing_media_signal,weak_table_coverage,-3,0.0000,0.3810,0.0000,0.9190,30,0,stitch\outputs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634_stitch_20260414_195050\images\34_r_000034_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634\android_device_rendered\34_u_000034_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_stitch_compare_20260417_r1\android_device_rendered\34_u_000034_01.png
35,u_000035_01,Weather,same,dense_text_layout,dense_text_layout,0,0.6897,0.6897,0.2548,0.3138,0,0,stitch\outputs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634_stitch_20260414_195050\images\35_r_000035_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634\android_device_rendered\35_u_000035_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_stitch_compare_20260417_r1\android_device_rendered\35_u_000035_01.png
36,u_000036_01,Travel,same,,,0,0.0000,0.2778,0.8844,0.6486,0,0,stitch\outputs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634_stitch_20260414_195050\images\36_r_000036_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634\android_device_rendered\36_u_000036_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_stitch_compare_20260417_r1\android_device_rendered\36_u_000036_01.png
37,u_000037_01,Booking,same,weak_table_coverage,weak_table_coverage,0,0.2970,0.2970,0.8724,0.8704,0,0,stitch\outputs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634_stitch_20260414_195050\images\37_r_000037_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634\android_device_rendered\37_u_000037_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_stitch_compare_20260417_r1\android_device_rendered\37_u_000037_01.png
38,u_000038_01,Booking,same,,,0,0.0000,0.0000,0.7415,0.8944,0,0,stitch\outputs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634_stitch_20260414_195050\images\38_r_000038_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634\android_device_rendered\38_u_000038_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_stitch_compare_20260417_r1\android_device_rendered\38_u_000038_01.png
39,u_000039_01,Comparison,improved,markdown_leakage;missing_media_signal,missing_media_signal,-1,0.0000,0.0000,0.8831,0.8816,28,0,stitch\outputs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634_stitch_20260414_195050\images\39_r_000039_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634\android_device_rendered\39_u_000039_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_stitch_compare_20260417_r1\android_device_rendered\39_u_000039_01.png
40,u_000040_01,Booking,same,weak_table_coverage,weak_table_coverage,0,0.4516,0.4516,0.8821,0.9188,0,0,stitch\outputs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634_stitch_20260414_195050\images\40_r_000040_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634\android_device_rendered\40_u_000040_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_stitch_compare_20260417_r1\android_device_rendered\40_u_000040_01.png
41,u_000041_01,Booking,same,weak_table_coverage,weak_table_coverage,0,0.4364,0.4364,0.6368,0.6368,0,0,stitch\outputs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634_stitch_20260414_195050\images\41_r_000041_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634\android_device_rendered\41_u_000041_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_stitch_compare_20260417_r1\android_device_rendered\41_u_000041_01.png
42,u_000042_01,Booking,same,,,0,0.6481,0.6481,0.4947,0.7712,0,0,stitch\outputs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634_stitch_20260414_195050\images\42_r_000042_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634\android_device_rendered\42_u_000042_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_stitch_compare_20260417_r1\android_device_rendered\42_u_000042_01.png
43,u_000043_01,Comparison,same,weak_table_coverage,weak_table_coverage,0,0.3214,0.3214,0.6088,0.6705,0,0,stitch\outputs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634_stitch_20260414_195050\images\43_r_000043_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634\android_device_rendered\43_u_000043_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_stitch_compare_20260417_r1\android_device_rendered\43_u_000043_01.png
44,u_000044_01,Booking,same,,,0,0.0000,0.0000,0.6498,0.5611,0,0,stitch\outputs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634_stitch_20260414_195050\images\44_r_000044_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634\android_device_rendered\44_u_000044_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_stitch_compare_20260417_r1\android_device_rendered\44_u_000044_01.png
45,u_000045_01,Travel,improved,dense_text_layout,,-1,0.7273,0.7273,0.4413,0.5408,0,0,stitch\outputs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634_stitch_20260414_195050\images\45_r_000045_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634\android_device_rendered\45_u_000045_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_stitch_compare_20260417_r1\android_device_rendered\45_u_000045_01.png
46,u_000046_01,Booking,same,weak_table_coverage,weak_table_coverage,0,0.5238,0.5238,0.4758,0.6178,0,0,stitch\outputs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634_stitch_20260414_195050\images\46_r_000046_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634\android_device_rendered\46_u_000046_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_stitch_compare_20260417_r1\android_device_rendered\46_u_000046_01.png
47,u_000047_01,Comparison,same,,,0,0.5682,0.5682,0.7466,0.7662,0,0,stitch\outputs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634_stitch_20260414_195050\images\47_r_000047_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634\android_device_rendered\47_u_000047_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_stitch_compare_20260417_r1\android_device_rendered\47_u_000047_01.png
48,u_000048_01,Travel,same,,,0,0.6875,0.6875,0.5847,0.5847,0,0,stitch\outputs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634_stitch_20260414_195050\images\48_r_000048_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634\android_device_rendered\48_u_000048_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_stitch_compare_20260417_r1\android_device_rendered\48_u_000048_01.png
49,u_000049_01,Comparison,same,,,0,0.6400,0.6400,0.6192,0.4944,0,0,stitch\outputs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634_stitch_20260414_195050\images\49_r_000049_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634\android_device_rendered\49_u_000049_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_stitch_compare_20260417_r1\android_device_rendered\49_u_000049_01.png
50,u_000050_01,Weather,improved,dense_text_layout,,-1,0.6897,0.6897,0.4205,0.5654,0,0,stitch\outputs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634_stitch_20260414_195050\images\50_r_000050_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634\android_device_rendered\50_u_000050_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_stitch_compare_20260417_r1\android_device_rendered\50_u_000050_01.png
