"run_id","status","exit_code","duration_sec","rendered_dir","timestamp"
"subset10_manual_rich_20260216_230217","skipped_no_genui","","0","C:\Users\anupk\Documents\git\A2UI\dataset\data\runs\subset10_manual_rich_20260216_230217\rendered","2026-02-18T01:13:11"
"subset50_g25flash_20260207_121329","ok","0","157.64","C:\Users\anupk\Documents\git\A2UI\dataset\data\runs\subset50_g25flash_20260207_121329\rendered","2026-02-18T01:15:48"
"subset50_g25pro_20260207_121329","ok","0","65.53","C:\Users\anupk\Documents\git\A2UI\dataset\data\runs\subset50_g25pro_20260207_121329\rendered","2026-02-18T01:16:54"
"subset50_g25pro_promptlite_20260212_011030","ok","0","124.7","C:\Users\anupk\Documents\git\A2UI\dataset\data\runs\subset50_g25pro_promptlite_20260212_011030\rendered","2026-02-18T01:18:58"
"subset50_g25pro_prompttuned_20260212_022406","ok","0","70.21","C:\Users\anupk\Documents\git\A2UI\dataset\data\runs\subset50_g25pro_prompttuned_20260212_022406\rendered","2026-02-18T01:20:09"
"subset50_g25pro_promptv6_20260212_223445","ok","0","73.64","C:\Users\anupk\Documents\git\A2UI\dataset\data\runs\subset50_g25pro_promptv6_20260212_223445\rendered","2026-02-18T01:21:22"
"subset50_g25pro_systemprefix_20260212_014558","ok","0","67.55","C:\Users\anupk\Documents\git\A2UI\dataset\data\runs\subset50_g25pro_systemprefix_20260212_014558\rendered","2026-02-18T01:22:30"
"subset50_g25pro_urlindexed_20260213_173728","ok","0","72.62","C:\Users\anupk\Documents\git\A2UI\dataset\data\runs\subset50_g25pro_urlindexed_20260213_173728\rendered","2026-02-18T01:23:43"
"subset50_g3flash_20260207_121329","ok","0","77.72","C:\Users\anupk\Documents\git\A2UI\dataset\data\runs\subset50_g3flash_20260207_121329\rendered","2026-02-18T01:25:00"
"subset50_g3pro_20260207_121329","ok","0","70.71","C:\Users\anupk\Documents\git\A2UI\dataset\data\runs\subset50_g3pro_20260207_121329\rendered","2026-02-18T01:26:11"
"subset50_g3pro_resp_g3pro_s3_20260217_211032","ok","0","1.61","C:\Users\anupk\Documents\git\A2UI\dataset\data\runs\subset50_g3pro_resp_g3pro_s3_20260217_211032\rendered","2026-02-18T01:26:13"
"subset50_g3pro_urlreal_20260214_005342","ok","0","73.27","C:\Users\anupk\Documents\git\A2UI\dataset\data\runs\subset50_g3pro_urlreal_20260214_005342\rendered","2026-02-18T01:27:26"
"subset50_g4omini_20260207_121329","skipped_no_genui","","0","C:\Users\anupk\Documents\git\A2UI\dataset\data\runs\subset50_g4omini_20260207_121329\rendered","2026-02-18T01:27:26"
"subset50_gauss_20260207_121329","ok","0","71.15","C:\Users\anupk\Documents\git\A2UI\dataset\data\runs\subset50_gauss_20260207_121329\rendered","2026-02-18T01:28:37"
"subset50_gemma327b_20260207_121329","ok","0","91.6","C:\Users\anupk\Documents\git\A2UI\dataset\data\runs\subset50_gemma327b_20260207_121329\rendered","2026-02-18T01:30:09"
"subset50_gpt5mini_20260207_121329","skipped_no_genui","","0","C:\Users\anupk\Documents\git\A2UI\dataset\data\runs\subset50_gpt5mini_20260207_121329\rendered","2026-02-18T01:30:09"
"subset50_manifest_20260207_121329","skipped_no_genui","","0","C:\Users\anupk\Documents\git\A2UI\dataset\data\runs\subset50_manifest_20260207_121329\rendered","2026-02-18T01:30:09"
"subset50_perplexity_gpt5_20260207_121329","ok","0","104.75","C:\Users\anupk\Documents\git\A2UI\dataset\data\runs\subset50_perplexity_gpt5_20260207_121329\rendered","2026-02-18T01:31:53"
"subset50_perplexity_s2_g3pro_s3_20260217_211032","ok","0","1.51","C:\Users\anupk\Documents\git\A2UI\dataset\data\runs\subset50_perplexity_s2_g3pro_s3_20260217_211032\rendered","2026-02-18T01:31:55"
"subset50_rankings_report_20260209_223414","skipped_no_genui","","0","C:\Users\anupk\Documents\git\A2UI\dataset\data\runs\subset50_rankings_report_20260209_223414\rendered","2026-02-18T01:31:55"
"subset50_rankings_report_20260210_011941","skipped_no_genui","","0","C:\Users\anupk\Documents\git\A2UI\dataset\data\runs\subset50_rankings_report_20260210_011941\rendered","2026-02-18T01:31:55"
"subset50_shared_assets","skipped_no_genui","","0","C:\Users\anupk\Documents\git\A2UI\dataset\data\runs\subset50_shared_assets\rendered","2026-02-18T01:31:55"
"test_sample_1000","skipped_no_genui","","0","C:\Users\anupk\Documents\git\A2UI\dataset\data\runs\test_sample_1000\rendered","2026-02-18T01:31:55"
