rank,model,run_id,samples,overall_score,schema_valid_strict_rate,content_coverage_avg,lint_score_avg,intent_score_avg,render_ok_rate,table_pattern_detected_rate,section_heading_coverage_avg,action_coverage_avg,component_count_avg,unique_component_types_avg,markdown_leakage_rate_avg,url_as_text_rate_avg
1,Gemini 2.5 Pro,subset50_g25pro_20260207_121329,50,70.85731477256468,1.0,0.9130535143679339,1.0,0.40666666666666657,0.0,0.26,0.29313492063492064,0.88,32.1,5.32,0.11018464462625661,0.1814285714285714
2,Gemini 3 Pro,subset50_g3pro_20260207_121329,50,69.84854289740805,1.0,0.7639596966866956,0.988,0.3500000000000001,0.0,0.22,0.1776279178338002,0.9,31.34,5.24,0.061840203882785924,0.1825
3,Perplexity GPT-5 (sonar-pro alias),subset50_perplexity_gpt5_20260207_121329,50,57.324395713837106,1.0,0.8935293738822636,1.0,0.27,0.0,0.22,0.18679738562091505,0.64,21.04,3.62,0.14435031916895671,0.35714285714285715
4,Gemini 3 Flash,subset50_g3flash_20260207_121329,50,51.88824621010376,1.0,0.8211074024190275,0.992,0.20666666666666664,0.0,0.14,0.08159897292250234,0.62,16.08,3.98,0.16442399063508556,0.45714285714285713
5,Gauss,subset50_gauss_20260207_121329,50,49.039338717245535,1.0,0.8700233513343879,1.0,0.21333333333333332,0.0,0.06,0.14115873015873018,0.7,13.78,3.18,0.17437817052024696,0.33714285714285713
6,Gemma 3 27B,subset50_gemma327b_20260207_121329,54,34.582442124936875,1.0,0.9615381500591373,1.0,0.08641975308641976,0.0,0.0,0.05555555555555555,0.42592592592592593,2.388888888888889,2.0,0.24854705651865758,0.6984126984126985
