rank,run_id,variant,prompt_version,responses_count,genui_rows_total,rows_used,same_response_dataset,responses_sha256,fixes_made,overall_score,overall_delta_vs_baseline,schema_valid_strict_rate,content_coverage_avg,intent_score_avg,table_pattern_detected_rate,section_heading_coverage_avg,action_coverage_avg,markdown_leakage_rate_avg,component_count_avg
1,subset50_g25pro_promptv6_20260212_223445,promptv6_structured,genui_gen_v6_structured,50,50,50,YES,b3b989f64092f78ac6d278353c6b1ae658f597a52af3c2d471bb04700ab624e8,Stricter structured contract + validation checklist (avoid markdown leakage/pseudo-buttons),84.60245122120257,13.616952567553767,1.0,0.9252013935348038,0.61,0.54,0.5634771241830066,0.94,0.07568614176567745,46.72
2,subset50_g25pro_prompttuned_20260212_022406,prompttuned_v5,genui_gen_v5_tuned,50,50,50,YES,b3b989f64092f78ac6d278353c6b1ae658f597a52af3c2d471bb04700ab624e8,"Added strong UI decomposition rules (sections, table structure, action/source buttons)",79.96191013487083,8.97641148122203,1.0,0.9157807179921119,0.6033333333333334,0.46,0.5492698412698412,0.9,0.09077665218569445,41.78
3,subset50_g25pro_20260207_121329,baseline_v1,genui_gen_v1,50,50,50,YES,b3b989f64092f78ac6d278353c6b1ae658f597a52af3c2d471bb04700ab624e8,"Baseline genui prompt (full schema/catalog inline, minimal structural guardrails)",70.9854986536488,0.0,1.0,0.931148752463172,0.40666666666666657,0.26,0.29313492063492064,0.88,0.11018464462625661,32.1
4,subset50_g25pro_systemprefix_20260212_014558,systemprefix,genui_gen_v1,50,50,50,YES,b3b989f64092f78ac6d278353c6b1ae658f597a52af3c2d471bb04700ab624e8,Moved large schema/catalog into system prefix; request prompt kept short,69.07297542600568,-1.9125232276431205,1.0,0.9034175162286259,0.4166666666666668,0.24,0.3675555555555555,0.9,0.1455279790550505,29.78
5,subset50_g25pro_promptlite_20260212_011030,promptlite,genui_gen_v1,50,80,50,YES,b3b989f64092f78ac6d278353c6b1ae658f597a52af3c2d471bb04700ab624e8,Compact prompt to reduce token size (trimmed instructions/context),34.46260147162748,-36.522897182021325,1.0,0.9786518811881189,0.09333333333333334,0.0,0.06,0.46,0.26029357312546325,2.0
